country,iso2,iso3,region,wb_econ,minage_fem_leg,minage_mal_leg,minage_fem_pc,minage_mal_pc,minage_fem_crlaw,minage_mal_crlaw,minage_fem_loop,minage_mal_loop,minage_fem_any,minage_mal_any,loop_summ,except_pc,except_preg,except_crlaw,protect_girl_13,protect_girl_15,protect_girl_17,protect_boy_13,protect_boy_15,protect_boy_17,legal_diff_leg,legal_diff_pc,minage_par_18_f_1995,minage_par_18_f_1996,minage_par_18_f_1997,minage_par_18_f_1998,minage_par_18_f_1999,minage_par_18_f_2000,minage_par_18_f_2001,minage_par_18_f_2002,minage_par_18_f_2003,minage_par_18_f_2004,minage_par_18_f_2005,minage_par_18_f_2006,minage_par_18_f_2007,minage_par_18_f_2008,minage_par_18_f_2009,minage_par_18_f_2010,minage_par_18_f_2011,minage_par_18_f_2012,minage_par_18_f_2013,minage_par_18_f_2014,minage_par_18_f_2015,minage_par_18_f_2016,minage_par_18_f_2017,minage_par_18_f_2018,minage_par_18_f_2019,minage_par_18_f_2020,minage_par_18_f_2021,minage_par_18_f_2022,minage_par_18_f_2023,minage_par_18_m_1995,minage_par_18_m_1996,minage_par_18_m_1997,minage_par_18_m_1998,minage_par_18_m_1999,minage_par_18_m_2000,minage_par_18_m_2001,minage_par_18_m_2002,minage_par_18_m_2003,minage_par_18_m_2004,minage_par_18_m_2005,minage_par_18_m_2006,minage_par_18_m_2007,minage_par_18_m_2008,minage_par_18_m_2009,minage_par_18_m_2010,minage_par_18_m_2011,minage_par_18_m_2012,minage_par_18_m_2013,minage_par_18_m_2014,minage_par_18_m_2015,minage_par_18_m_2016,minage_par_18_m_2017,minage_par_18_m_2018,minage_par_18_m_2019,minage_par_18_m_2020,minage_par_18_m_2021,minage_par_18_m_2022,minage_par_18_m_2023,wb_econ_label,loop_summ_label,minage_fem_loop_label,minage_mal_loop_label,protect_girl_13_label,protect_boy_13_label,protect_girl_15_label,protect_boy_15_label,protect_girl_17_label,protect_boy_17_label,legal_diff_leg_label,legal_diff_pc_label,has_loophole_fem,has_loophole_mal,gender_gap_loop,has_gender_gap
Afghanistan,AF,AFG,South Asia,1.0,,,,,,,,,,,,5,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Low-income,,,,,,,,,,,,False,False,,True
Albania,AL,ALB,Europe & Central Asia,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Algeria,DZ,DZA,Middle East & North Africa,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,3,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Andorra,AD,AND,Europe & Central Asia,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Angola,AO,AGO,Sub-Saharan Africa,2.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,2,5.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle-income,2 masalah: kesenjangan DAN usia 14-17,14-15 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Perempuan 1-2 tahun lebih muda,True,True,1.0,True
Antigua and Barbuda,AG,ATG,Americas,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Argentina,AR,ARG,Americas,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,2,5.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle-income,1 masalah: kesenjangan ATAU usia 14-17,16-17 tahun,16-17 tahun,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
Armenia,AM,ARM,Europe & Central Asia,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle-income,1 masalah: kesenjangan ATAU usia 14-17,16-17 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
Australia,AU,AUS,East Asia & Pacific,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Austria,AT,AUT,Europe & Central Asia,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Azerbaijan,AZ,AZE,Europe & Central Asia,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Bahamas,BS,BHS,Americas,4.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,3.0,2,5.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,1 masalah: kesenjangan ATAU usia 14-17,14-15 tahun,14-15 tahun,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
Bahrain,BH,BHR,Middle East & North Africa,4.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Bisa menikah ≤ 13 tahun,≤ 13 tahun,≤ 13 tahun,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa pembatasan,Boleh dengan izin orang tua / hukum adat,Perempuan 1-2 tahun lebih muda,Perempuan 1-2 tahun lebih muda,True,True,0.0,False
Bangladesh,BD,BGD,South Asia,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Bisa menikah ≤ 13 tahun,≤ 13 tahun,≤ 13 tahun,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Perempuan 3 tahun lebih muda,Perempuan 3 tahun lebih muda,True,True,0.0,False
Barbados,BB,BRB,Americas,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-income,1 masalah: kesenjangan ATAU usia 14-17,16-17 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
